,image,Text,confidenceOCR
192,images/Cropped Image193.jpg,No,0.5792725647632726
193,images/Cropped Image194.jpg,smoking,0.705588001405405
194,images/Cropped Image196.jpg,HELLAS AVATAR,0.9984742612317227
195,images/Cropped Image195.jpg,HELLAS AVATAR,0.983051791275804
196,images/Cropped Image200.jpg,No sMoking,0.35585678501495743
197,images/Cropped Image198.jpg,HELLAS AVATAR,0.9959181018640034
198,images/Cropped Image199.jpg,No sMoking,0.507729941967905
199,images/Cropped Image197.jpg,HELLAS AVATAR,0.9915096055254637
200,images/Cropped Image203.jpg,VALENTINE,0.861775545054695
201,images/Cropped Image201.jpg,W,0.19929854541409497
202,images/Cropped Image202.jpg,VALENTINE,0.9996532298490045
203,images/Cropped Image204.jpg,Wb,0.058370763849172745
204,images/Cropped Image205.jpg,NO,0.8428279187062592
205,images/Cropped Image208.jpg,SmokiNG',0.6164201208610853
206,images/Cropped Image207.jpg,Ino 9413913,0.30237313910171065
207,images/Cropped Image206.jpg,Maccoa,0.8751658404197892
208,images/Cropped Image211.jpg,Maccoa,0.5028769358583649
209,images/Cropped Image209.jpg,4O,0.41909115540079434
210,images/Cropped Image212.jpg,SmokiNG',0.636416492538334
211,images/Cropped Image210.jpg,Id 9413913,0.5137932055918277
212,images/Cropped Image213.jpg,Maccoa,0.8738420721070225
213,images/Cropped Image214.jpg,DESERT OASIS,0.6255293880298747
214,images/Cropped Image215.jpg,E,0.07080105215209187
215,images/Cropped Image216.jpg,Vcteedes,0.23001334544851465
216,images/Cropped Image217.jpg,44cedey,0.12868962483270457
217,images/Cropped Image218.jpg,Msc,0.8047885313155854
218,images/Cropped Image219.jpg,GENEVA,0.9974952806604677
219,images/Cropped Image220.jpg,M $ c,0.2377670347079865
220,images/Cropped Image221.jpg,Msc,0.8604768187627697
221,images/Cropped Image222.jpg,GENEVA,0.9975602872438227
222,images/Cropped Image223.jpg,M $ C,0.29389722973721516
223,images/Cropped Image224.jpg,Eaha,0.229812353849411
224,images/Cropped Image225.jpg,FA,0.055128131637840846
225,images/Cropped Image226.jpg,KESS,0.9980739951133728
226,images/Cropped Image227.jpg,BKokin,0.13185661552652858
227,images/Cropped Image228.jpg,SAFFTY,0.4243003129247339
228,images/Cropped Image229.jpg,finct,0.06057314407803335
229,images/Cropped Image230.jpg,FENG LIHAI,0.707375063618996
230,images/Cropped Image231.jpg,"Co5co , SHIPPING",0.3893411114846538
231,images/Cropped Image232.jpg,SdXnc,0.026894374059895056
232,images/Cropped Image233.jpg,SAFETT,0.36311406083896725
233,images/Cropped Image234.jpg,Fiag,0.2725360095500946
234,images/Cropped Image235.jpg,"cosco , SHIPPING",0.8181459981661828
235,images/Cropped Image236.jpg,TUHDRALAID,0.601523150699261
236,images/Cropped Image238.jpg,TUNDRALAD,0.7476386895471766
237,images/Cropped Image237.jpg,54FETY,0.2355730657911443
238,images/Cropped Image239.jpg,FipsT,0.15828147728317926
239,images/Cropped Image240.jpg,no svokinG,0.21449445401065106
240,images/Cropped Image241.jpg,POLA ONEGA,0.6827535659307667
241,images/Cropped Image242.jpg,SAfETY First,0.12503070797331475
242,images/Cropped Image244.jpg,no smoking,0.38904730566013906
243,images/Cropped Image243.jpg,POLa ONEGA,0.41581094391835494
244,images/Cropped Image247.jpg,1VD 9674381,0.15268708943545142
245,images/Cropped Image245.jpg,SAfETY First,0.215174231216862
246,images/Cropped Image246.jpg,No svoking,0.2163053595514076
247,images/Cropped Image248.jpg,Msc,0.42672118769851786
248,images/Cropped Image249.jpg,GENEVA,0.9997683877724431
249,images/Cropped Image250.jpg,MS c,0.2607589066028595
250,images/Cropped Image251.jpg,SENROURNOVR,0.12492434629451867
251,images/Cropped Image252.jpg,BARKING,0.9998670793625543
252,images/Cropped Image253.jpg,BARKING,0.9988463741175875
253,images/Cropped Image255.jpg,BARKING,0.99987068406527
254,images/Cropped Image254.jpg,Meryur Fjord,0.19867072308354608
255,images/Cropped Image256.jpg,Arrvur Fjord,0.05887548816375722
256,images/Cropped Image257.jpg,Aervup Fjord,0.042647019331769634
257,images/Cropped Image258.jpg,ERO L,0.639685761051999
258,images/Cropped Image259.jpg,ERO L,0.6226769516351723
259,images/Cropped Image262.jpg,"6167,",0.09299437495437146
260,images/Cropped Image260.jpg,yaali,0.0013577936884117826
261,images/Cropped Image261.jpg,ES JaCT,0.10530990795325802
262,images/Cropped Image263.jpg,"Eg ,",0.055442824959754944
263,images/Cropped Image264.jpg,NO smoking,0.5072542739696961
264,images/Cropped Image266.jpg,} &,0.2209830375097123
265,images/Cropped Image265.jpg,FU RONG FENG,0.9925211894531639
266,images/Cropped Image267.jpg,COScO SHIpPING,0.2322865850289047
267,images/Cropped Image269.jpg,smoking,0.6344442495353543
268,images/Cropped Image268.jpg,smoking,0.5565679550021426
269,images/Cropped Image270.jpg,CoScO Shipping,0.3788412501191195
270,images/Cropped Image271.jpg,NAVESc0,0.7889520794156816
271,images/Cropped Image273.jpg,SIDER TAYRONA,0.6566850640590638
272,images/Cropped Image274.jpg,NAVEGCO ,0.4895792554411836
273,images/Cropped Image272.jpg,NAVESc0,0.6115911663933137
274,images/Cropped Image275.jpg,IaIa[,0.0010646813740642946
275,images/Cropped Image276.jpg,VF,0.19560804185264816
276,images/Cropped Image278.jpg,ME,0.492828467119557
277,images/Cropped Image277.jpg,MeIK,0.10780606418848038
278,images/Cropped Image279.jpg,WK,0.351953023050357
279,images/Cropped Image280.jpg,WETK,0.1856033056974411
280,images/Cropped Image281.jpg,Wei,0.10256359132057614
281,images/Cropped Image282.jpg,EAD,0.015338929241107366
282,images/Cropped Image283.jpg,WE,0.4415255577114467
283,images/Cropped Image284.jpg,WR,0.19260829088779124
284,images/Cropped Image285.jpg,W,0.3514371644387779
285,images/Cropped Image286.jpg,MEK,0.0826396880904931
286,images/Cropped Image287.jpg,Wa,0.361702993528599
287,images/Cropped Image288.jpg,WR,0.34086525632174064
288,images/Cropped Image289.jpg,WE,0.36123335321530436
289,images/Cropped Image290.jpg,K,0.23101411641065184
290,images/Cropped Image295.jpg,No SMoking,0.6420986413739089
291,images/Cropped Image291.jpg,SOLAR SHERIdan,0.5060070541378795
292,images/Cropped Image292.jpg,SOLAR SHERIdan,0.653685181753868
293,images/Cropped Image294.jpg,No SMoking,0.4739491429703666
294,images/Cropped Image293.jpg,MANDARN CHMA,0.37033679704458505
295,images/Cropped Image297.jpg,D A $ / N,0.3752707005868114
296,images/Cropped Image296.jpg,MANDARN CHha,0.3017095012110605
297,images/Cropped Image298.jpg,D A $ / N,0.5115756844327258
298,images/Cropped Image299.jpg,MANDARN CHHA,0.3588805407340321
299,images/Cropped Image301.jpg,NO sMOkinG,0.23647271048221835
300,images/Cropped Image300.jpg,VOGE DIGNitY,0.09075450535464227
301,images/Cropped Image302.jpg,NO SMOKING,0.18753531500771436
302,images/Cropped Image303.jpg,VOGe DIGNItY,0.18965035110829873
303,images/Cropped Image304.jpg,Moning,0.9073311886481975
304,images/Cropped Image306.jpg,Moning,0.8757877703244374
305,images/Cropped Image305.jpg,No SMOKING,0.8892902776245354
306,images/Cropped Image307.jpg,MAERSK Timaru,0.7658407507628402
307,images/Cropped Image309.jpg,No SMOKING,0.8637548370531317
308,images/Cropped Image308.jpg,MAERSK Tinaru,0.5726484958828585
309,images/Cropped Image310.jpg,No SMOKING,0.8034557012310046
310,images/Cropped Image311.jpg,StaR HarMOnY,0.15170366354424658
311,images/Cropped Image312.jpg,Star Harmony,0.40024544740047957
312,images/Cropped Image313.jpg,Cha C6m,0.07155641763134261
313,images/Cropped Image314.jpg,C CGy sambhar,0.0153519262188008
314,images/Cropped Image315.jpg,cla c6H,0.08500989428020515
315,images/Cropped Image317.jpg,eourade,0.14047473286837597
316,images/Cropped Image316.jpg,Uxae,0.018826454877853394
317,images/Cropped Image318.jpg,Sedurede,0.18409682883303888
318,images/Cropped Image320.jpg,Hhjnahe,0.00693211328797914
319,images/Cropped Image319.jpg,Mjeahe,0.03695206084813112
320,images/Cropped Image321.jpg,Jpi#,0.02339247055351734
321,images/Cropped Image322.jpg,Me,0.06787641512224551
322,images/Cropped Image324.jpg,Ii,0.02636117938922338
323,images/Cropped Image323.jpg,HELLAS,0.9851328511535324
324,images/Cropped Image325.jpg,REEFER,0.8730434704032253
325,images/Cropped Image326.jpg,Teorpede,0.026937043083399313
326,images/Cropped Image327.jpg,ixalade,0.03305785326653827
327,images/Cropped Image328.jpg,Jenurode,0.015095472088915233
328,images/Cropped Image329.jpg,Manyche,0.08981075798895412
329,images/Cropped Image330.jpg,Meee,0.02582605928182602
330,images/Cropped Image331.jpg,Jpiex,0.03277771985076854
331,images/Cropped Image335.jpg,Junae,0.04838921666844992
332,images/Cropped Image332.jpg,HELLAS,0.9818508552976029
333,images/Cropped Image336.jpg,REEFER,0.9015487692372929
334,images/Cropped Image333.jpg,Murray star,0.17741217730213793
335,images/Cropped Image334.jpg,ValLETTA,0.2650375622624713
336,images/Cropped Image337.jpg,hurray StaR,0.15796660851192507
337,images/Cropped Image338.jpg,ValLETTA,0.23040762669291803
338,images/Cropped Image339.jpg,Cratn,0.00029020806371958047
339,images/Cropped Image340.jpg,cha CCh,0.24112856913263075
340,images/Cropped Image341.jpg,MARFReT Provence,0.16819621364712325
