created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2015-01-27 12:53:46+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",New for passengers! Asia-Aus-NZ- CC Puget available every two months dep Bris 17/02 dep. HK 15/03 #freightertravel http://t.co/AcU1Ut0jO4,en,['freightertravel'],['https://pbs.twimg.com/media/B8W524FCAAAh3K4.jpg'],
2015-01-27 12:52:41+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",New for passengers! Asia-Aus-NZ- CC Puget available every two months dep Bris 17/02 dep. HK 15/03 #cargoshipvoyages http://t.co/v455glFQDI,en,['cargoshipvoyages'],['https://pbs.twimg.com/media/B8W5nB-CYAAZSmh.png'],
2015-01-19 12:41:08+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK","Grimaldi adds vessel from 03/15 to Europe/South America service; more outside cabins!
#cargoshipvoyages #freighters http://t.co/njfNvgh4JY",en,"['cargoshipvoyages', 'freighters']",['https://pbs.twimg.com/media/B7tqPyhCQAAsgZB.jpg'],
2015-01-19 11:14:41+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",Italy-Australia late availability dep. 08/03 double cabins from €95 pppday plus taxes #cargoshipvoyages http://t.co/ILDKWI6Vxk,en,['cargoshipvoyages'],['https://pbs.twimg.com/media/B7tWdcKIUAAkmg5.jpg'],
2015-01-14 22:10:59+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",RT @CMA_CGM_Group: #photo: Have you met #CMACGM Berlioz in #Shanghai ? http://t.co/h1MHePEzQJ,en,"['photo', 'CMACGM', 'Shanghai']",['https://pbs.twimg.com/media/B7UvSAOCMAA5cXm.jpg'],
2014-12-30 17:29:05+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",RT @ryanmoody1991: @CMA_CGM_Group picture of the cma cgm jules verne coming into southampton container terminal!!!! http://t.co/Kleg1tRl5Q,en,,['https://pbs.twimg.com/media/B6HXY8NIQAA7wGY.jpg'],
2014-11-15 12:35:28+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",Our http://t.co/io30pON0QH website refreshed with new ideas for passengers on cargo ships #freightertravel #travel http://t.co/EH3lzi8584,en,"['freightertravel', 'travel']",['https://pbs.twimg.com/media/B2e5mzYIEAENB8X.jpg'],
2014-11-15 09:51:40+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",RT @thepanamacanal: #Panama is the only port in the world in two oceans. #PanamaCanal #Connectivity http://t.co/LsEI7ukSbJ,en,"['Panama', 'PanamaCanal', 'Connectivity']",['https://pbs.twimg.com/media/B2bIDbeCAAExLMI.jpg'],
2014-11-15 09:13:50+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",NEW - 28/12 Med via Suez - Far East &amp; USA W Coast 112 days roundtrip #freightertravel #cargoshipvoyages #seavoyages http://t.co/dEdejkpjwL,en,"['freightertravel', 'cargoshipvoyages', 'seavoyages']",['https://pbs.twimg.com/media/B2eLdYRIEAAC7qE.jpg'],
2014-09-18 12:07:03+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",New NSB cargo service with passengers Europe/Baltic 14 day roundtrip MSC Cordoba #freightertravel #seatravel #cargo http://t.co/3x0z1zfMs0,en,"['freightertravel', 'seatravel', 'cargo']",['https://pbs.twimg.com/media/Bx0G5UoCcAAeiUx.jpg'],
